Icao,Message,Timestamp,Receiver,df,Receiver IP
800DAA,5D800DAACE1F38,1229E420E44F7B,2,11,192.168.101.3
800DAA,5D800DAACE1F38,1229E5EADFB754,2,11,192.168.101.3
800602,5D800602AAD2A4,1229E9BE06313F,2,11,192.168.101.3
800C11,5D800C1139AD60,1229DFC232EE3A,1,11,192.168.30.27
800C11,5D800C1139AD60,1229E0BB2DA43A,1,11,192.168.30.27
680002,5D680002C5DD7A,1229ED6BB1253D,1,11,192.168.30.27
800BB1,5D800BB1154A90,122A028291214A,2,11,192.168.101.3
680002,5D680002C5DD7A,1229F070573E36,1,11,192.168.30.27
800BB1,5D800BB1154ADB,122A031E1FD34F,2,11,192.168.101.3
800DAA,5D800DAACE1F38,1229F0C62C2453,1,11,192.168.30.27
800BB1,5D800BB1154A90,122A037FF7AD4B,2,11,192.168.101.3
800BB1,5D800BB1154ADB,122A0394175944,2,11,192.168.101.3
702097,5D702097B0554C,1229F2DEE6DA61,1,11,192.168.30.27
70206C,5D70206C4A69F4,1229F30739F979,1,11,192.168.30.27
800C74,5D800C74C423C4,1229F4153EBA2E,1,11,192.168.30.27
70206C,5D70206C4A69F4,1229F4340D5379,1,11,192.168.30.27
800C74,5D800C74C423C4,1229F48BE59B25,1,11,192.168.30.27
800BB1,5D800BB1154A90,122A04AF3A614D,2,11,192.168.101.3
800C74,5D800C74C423C4,1229F501969327,1,11,192.168.30.27
800C74,5D800C74C423C4,1229F5788FF928,1,11,192.168.30.27
800BB1,5D800BB1154ADB,122A04F7481E52,2,11,192.168.101.3
800C74,5D800C74C423C4,1229F5EEE4D12A,1,11,192.168.30.27
800C74,5D800C74C423C4,1229F66632A027,1,11,192.168.30.27
800C0B,5D800C0B3921C1,122A051FD13223,2,11,192.168.101.3
7705C5,5D7705C59A78A1,1229F69B8E0D34,1,11,192.168.30.27
680002,5D680002C5DD7A,1229F6AD969156,1,11,192.168.30.27
800BB1,5D800BB1154ADB,122A056D92F550,2,11,192.168.101.3
800C74,5D800C74C423C4,1229F752FE702C,1,11,192.168.30.27
702097,5D702097B05542,122A05E0F5977A,2,11,192.168.101.3
680002,5D680002C5DD7A,1229F7935B6E3C,1,11,192.168.30.27
800C74,5D800C74C423C4,1229F7C8C05027,1,11,192.168.30.27
702C0A,5D702C0A005507,122A0669B70D56,2,11,192.168.101.3
800BB1,5D800BB1154ADB,122A06D1AF9145,2,11,192.168.101.3
702097,5D702097B05542,122A06D6930876,2,11,192.168.101.3
485785,5D485785CE0760,122A07530FCE33,2,11,192.168.101.3
680002,5D680002C5DD7A,1229F9579A743C,1,11,192.168.30.27
800BB1,5D800BB1154ADB,122A07BE8A4646,2,11,192.168.101.3
485785,5D485785CE0760,122A07CA201837,2,11,192.168.101.3
800C74,5D800C74C4238F,122A0803253328,2,11,192.168.101.3
